,Content,Location,Username,Retweet-Count,Favorites,Created at
0,".@MTGConspiracy, is climate change real?",Here,_Grafik_,0,0,2021-03-30 20:29:42
1,@BrentToderian How urban design can be used to mitigate &amp; adapt to climate change and tackle the ecological emergency. Without our biodiversity our systems don't work.,"Swansea, Wales",frolfey,0,1,2021-03-30 20:29:20
2,"#PopeFrancis adapted Shakespeare's famous Hamlet quote in an appeal to people not to remain blind to the destruction of climate change and the mass migration it may cause, writing: ""To see or not to see, that is the question"" #climatemigration https://t.co/pcfN47tE37",London,TRF_Climate,1,0,2021-03-30 20:29:18
3,"""Climate change is an energy issue""?

Wrong! The threat posed to Humanity's Existence
is due, solely, to GREED.  Proof: At the end, you'll justify your continuing determination to use fossil fuels &amp; vehicles, REGARDLESS the consequences to all, including your kids. https://t.co/n6iavsC200 https://t.co/1eTOwnnzMY",Cambodia,RealityDictates,0,0,2021-03-30 20:29:16
4,"@scottishgreens Congrats to @lornagreens - I imagine it must take immense strength and fortitude to listen to Douglas Ross propose working with oil &amp; gas companies to solve climate change without literally exploding from sheer disbelief
#BBCLeadersDebate https://t.co/mIdDVjasNr",,AlxJarvis,0,1,2021-03-30 20:29:08
5,We are going through a pandemic and people still don’t believe in climate change.,,alanpalmtree,0,0,2021-03-30 20:29:05
6,@judy060709 It's time to stop worrying about climate change and start worrying about Possessed Hollywood 3-D Glasses,"""Parkland""",MTGConspiracy,0,0,2021-03-30 20:28:56
7,"To be fair, I didn’t know anything about climate change until I saw this statue https://t.co/3Nie0kfS2p","Bristol, United Kingdom",wartsandbrawls,0,0,2021-03-30 20:28:37
8,The structure of this debate failed its viewers massively &amp; should’ve had clear themes set out.  ~15min on Climate Change @ the end leaves no room to explore one of the biggest issues we face collectively as a society. #BBCLeadersDebate,"Glasgow, Scotland",avaccanning,0,0,2021-03-30 20:28:36
9,"After 1 year of locking people down globally climate change ""emergency"" is worse? How?

https://t.co/f3CrhSALOY",,AlexGiorgio6,0,0,2021-03-30 20:28:27
10,"I took a nap after work. 

An ✨incredible✨ nap. 

45 minutes of peace- no taxes, no  trash schedule, no existential dread about humanity and climate change. An adult's nap. 

I forgot my troubles and woke up a better person. 

May this nap find any who need it. 
💤😌💤","Orlando, FL",JennNanigans,0,1,2021-03-30 20:28:24
11,"""It was all water — we could have gone out on a boat. It’s becoming concerning, if this is going to be the norm with climate change."" https://t.co/JkDXXRHEu1 #actonclimate #timetoact","Washington, D.C.",alaskawild,0,0,2021-03-30 20:28:18
12,@ShonaHaslam Won't work with other parties on even climate change 🤔he was speaking over people was rude and displayed shocking behaviour.,Scotland,AliBee9,0,0,2021-03-30 20:28:13
13,@JStein_WaPo @IAmPoliticsGirl @RepJayapal Not addressing climate change as an emergency will place a huge financial burden on the future.,,Dr_Marcel_Inc,0,0,2021-03-30 20:28:12
14,"@Jasamgurlie @ToniaBuxton @ToniaBuxton Please provide a link to where Harry and Meghan told people not to go on holiday to cut down on carbon emissions. Because I never heard them say that. As a matter of fact, I’ve never heard Meghan give a speech on climate change at all. Unlike Charles and William.",United States,goldenpoppy100,0,0,2021-03-30 20:28:02
15,"The Arctic Blast has exposed the U.S. energy grid as being ill-prepared for climate change, with electric grid regulators now saying the U.S. needs to rapidly develop vast supplies of power storage—including giant batteries and hydrogen storage.

https://t.co/TMhe4DvCH5",London,OilandEnergy,0,0,2021-03-30 20:27:57
16,"How can bipoc imagine futures for themselves and their descendants when their surroundings and existence is constantly being threatened by climate change, environmental racism, the carceral state, gentrification, and other systems of oppression?",San Anto y Austin,streamsofsound,0,0,2021-03-30 20:27:52
17,Trying to get a Ugandan here to follow who is kin and upto date on climate change.,Uganda,innocentmario,0,0,2021-03-30 20:27:40
18,"@ColeMcpherson19 @Smackledorf @Sketcman911 @Jam0nSerran0 @shoe0nhead Blocking the sun is a very temporary thing, it has almost no effect on long term climate issues. I'm talking about climate change which is primarily caused by greenhouse gases. I really don't care if volcanoes occasionally block the sun in some parts of the world",,fueucnejs,0,0,2021-03-30 20:27:34
19,"Moving to 100% clean, renewable energy is KEY if we want to avoid the worst impacts of climate change. And Community Choice Energy is an important tool to help us get there by giving communities control over their electricity decisions. @MDSenate - support HB0768 #CCEforMoCo https://t.co/P9WjXVSHo8",,FWWMaryland,0,0,2021-03-30 20:26:56
20,"New research shows the @WorldBank directed more than $1 billion towards fossil fuel projects in 2020, undermining efforts to address climate change. Tell the @WorldBank to #StopFundingFossils TODAY: https://t.co/EBtmuKKXGF",BayArea: Marin Co. ,cmouse35,0,0,2021-03-30 20:26:53
21,"Temperatures are rising slow because heat is wasting in melting ice  and heating ocean’s water. Water can store more heat but not infinite https://t.co/IarSQsWDko #ClimateCrisis 
How is #climatechange affecting the Atlantic Ocean?  https://t.co/ffl55vYrag via @wef",,bobhillbrain,0,0,2021-03-30 20:26:38
22,PROPOSED PROJECT: an exhibition that raises awareness of climate change utilizing augmented reality with colour fields pitched to New Zealand residents.,,TheSpiritofCre1,0,0,2021-03-30 20:26:36
23,"So @Douglas4Moray let me get this right. You welcome but won’t retain the 4%, climate change “policy” 2 funnel more cash into fossil fuels,  u won’t work with the SNP but expect them to work with you &amp; you clearly don’t understand prejudice.  Top performance my man #BothVotesSNP","Scotland, United Kingdom",jennifer_wilkie,0,0,2021-03-30 20:26:31
24,"“@AmeriCorps &amp; @AmeriCorpsSr are taking on some the most challenging problems we face, inadequate housing, low graduation rates, lack of resilience in the face of climate change, AmeriCorps has been there on the front lines of these challenges” #NationalService #FriendsofService","Washington, D.C.",Voices4Service,0,0,2021-03-30 20:26:23
25,So is climate change but I don’t see humans doing anything about that either. https://t.co/FN6lqvpXBY,"Phoenix, Arizona",LiveTVDirector,0,0,2021-03-30 20:26:21
26,"PayPal to allow US customers to pay with Bitcoin &amp; other cryptocurrencies; such sad news for the climate change battle:

https://t.co/bFNh0zWKL6","Calgary, Canada",CindyLouWho_2,0,0,2021-03-30 20:26:10
27,Spaffer Johnson is as passionate about tackling climate change as he is about upholding the Nolan Principles and promoting monogamy and honesty https://t.co/Vd1LhImwb5,,fogatwick,0,1,2021-03-30 20:26:03
28,.@LehighU student Erin Skibbens calls on @GovernorTomWolf to address the 1.1 mil tons of climate-warming methane the PA oil &amp; gas industry emits each year. Gov. Wolf must strengthen the proposed methane rule + eliminate industry loopholes. @lehighvalley https://t.co/vwRXqG8nC2,Pennsylvania,CleanAirMoms_PA,0,0,2021-03-30 20:26:00
29,"@Kagero36991800 @svarthanax @SalixaDyklon I never said it would be easy

but feudalism fell, I don't think capitalism will be here to the end

I imagine once climate change REALLY fucks shit up, like, large swaths of the middle of the planet being uninhabitable (I know this isn't ideal) people will have nothing left to-",the right side of history,AliceTheLeftist,0,1,2021-03-30 20:25:57
30,@krystalisfeisty @crimsonshins @high_currency @xoxo_breezy_ @maefrommi @RunJoe @CourtneeHendrix First thing we lesrned in my climate change class was just cause someone has a Phd or is a scientist doesnt mean they are speaking on their actual field  they could be an emgineer speaking on non enginerr shit lmao truly vet your sources dont go on name alone,,e_asy1,0,0,2021-03-30 20:25:42
31,"We are so excited that @MassGovernor signed last session’s climate bill into law! While this is a big step in the right direction, we know we still have a lot of work to do to fight climate change. Now onto passing the Clean Energy Act! https://t.co/NxaYwpSSKM",,marygracee30,0,1,2021-03-30 20:25:33
32,"Can Saudi Arabia, the world’s second largest oil producer, become a global force tackling the climate crisis? https://t.co/pTiQgIsjPg","Bundung, The Gambia",SamboujangT,0,0,2021-03-30 20:25:30
33,@ThomasStDenis3 @cco8226 @dbencoombs @PierrePoilievre So sarcastic laughter about Trudeaus transparency is somehow equated to climate change? Interesting change in direction.,Edmonton,Brianmac39,0,0,2021-03-30 20:25:25
34,"New research shows the @WorldBank directed more than $1 billion towards fossil fuel projects in 2020, undermining efforts to address climate change. Tell the @WorldBank to #StopFundingFossils TODAY: https://t.co/hpy4xP2gHz",,stuart_donna,0,0,2021-03-30 20:25:23
35,"""Why are people not doing more about climate change"" and ""Why are companies not doing more about climate change"" are the same question 🙃 https://t.co/bsk3oDXanJ","London, England",JamesManuell,0,1,2021-03-30 20:25:20
36,@lavern_spicer Not climate change.   Lower taxes and actually work for all Americans.,Sterling VA,jerrypob1,0,0,2021-03-30 20:25:19
37,@BritishAlba @BBCNews Climate 👏 change 👏 and 👏 global 👏 warming 👏 is 👏 not 👏 political 👏 it 👏 is👏 an 👏 urgent 👏 issue 👏 we 👏 ALL 👏 need 👏 to 👏 deal 👏 with 👏,Europe!,NigelGarbage,0,0,2021-03-30 20:25:16
38,@Kakarot83816573 It's time to stop worrying about climate change and start worrying about Obama-backed Underage DualSense Controllers,"""Parkland""",MTGConspiracy,0,0,2021-03-30 20:25:13
39,"@mehdirhasan @NicolleDWallace You should discuss climate change and health care while you are on as well. 

Health care is a right. Climate change is a threat America must do its part to deal with. You don't hear a lot about that at 4pm.","Boston, MA",ScottNoddin8,0,1,2021-03-30 20:25:03
40,‘Cancer-causing’ chemicals found in children living near fracking well sites following two-year investigation https://t.co/JhZvtkGfYT,,therightarticle,4,1,2021-03-30 20:25:03
41,"Don't miss our conversation with renowned sci-fi author Kim Stanley Robinson on his new book, 'The Ministry for the Future', and how fiction writing can inform real-life policy debates. Sign up here: https://t.co/Pi27qGRpTg https://t.co/OCyfLWQIC5",University of Pennsylvania,perryworldhouse,0,0,2021-03-30 20:25:02
42,Mfers be plastic but be complaining about bipolar weather like bro you worried about the wrong climate change,,ayyouneverknow,0,0,2021-03-30 20:24:51
43,@DawnNute @xkcd_reader @cris_terescu @danwaterfield @thermidoryr2 wonder if him and natalie still talk. hope they haven't fallen out too much over climate change,BRISTOL (still don't accom),TyronWilson,0,0,2021-03-30 20:24:45
