,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"#globalwarming #polarityshift 

Sooner or later, the global warming (and the globalists) will give far more concern to polarity shifts than CO2 or methane causing global warming. 

Be aware...

Falling Into A Storm | Magnetic Risk Denial Debunked

https://t.co/uCcEufEtCe","Suburbia, USA",Mayascribe,0,1,2021-03-30 23:11:36
1,@washingtonpost #Summer is fake #GlobalWarming,MURICA,Jakartu3,0,0,2021-03-30 22:55:06
2,"It's 21° today and snow showers on Monday. 

And, Karen, you think #GlobalWarming is not real?",Planet Earth,Manisha_Awasthi,0,0,2021-03-30 22:54:13
3,"A must-read long article today in @ConversationEDU to understand where are we going, how serious #climatechange &amp; #GlobalWarming are &amp; how they are affecting Australia https://t.co/gW4fQcpuqb by Prof Ove Hoegh-Guldberg @UQ_News and Prof Lesley Hughes @Macquarie_Uni","Sydney, Australia",El_Lobo_Rayado,0,0,2021-03-30 22:40:46
4,A solution which can help tackle #GlobalWarming 🌏We want to explore possibilites with @CarbFix in the #US https://t.co/sDI4mrGvVw,"Washington, DC",BEllertsdottir,0,1,2021-03-30 22:30:51
5,"Thanks to @UCSUSA for its vigilance on #GlobalWarming and other #EnvironmentalJustice issues.   

Tell the White House We Need Bold, Ambitious #ClimateAction 

https://t.co/RGdMv8WOim",New York City,RandyBHecht,1,0,2021-03-30 22:01:16
6,"Pls follow our https://t.co/vrEtkXf9Iy
#oceanliteracy #climateliteracy #education #science #geoethics #geosciences #climatechange #conservation #sustainability #cryosphere #plastic #biodiversity #geodiversity #globalwarming #coasts 
@Recycle_ol
@Ozeanforschung
@SustainTrends",France,sim_climate,1,0,2021-03-30 21:58:50
7,"Pls follow our https://t.co/pzsXdAU5sd
#oceanliteracy #climateliteracy #education #science #geoethics #geosciences #climatechange #conservation #sustainability #cryosphere #plastic #biodiversity #geodiversity #globalwarming #coasts @Recycle_ol
@Ozeanforschung
@SustainTrends",Planet Earth,IOCS_climate,1,2,2021-03-30 21:57:01
8,"Scientists have created invisible solar panels which look like windows.
https://t.co/bp0WgnFpS9

#LEED #greenbuilding #sustainability #architecture #globalwarming https://t.co/gGMNDPSatG",United States,Projectific,0,1,2021-03-30 21:33:02
9,"Here’s what leaped out to us in some new research: Inequality among rich and poor countries in handling #GlobalWarming will be mirrored within those countries as well.
Read more at https://t.co/dl9Wi6XeMV

#ClimateEmergency",,CallawayClimate,1,0,2021-03-30 21:26:32
10,"This is a #ClimateEmergency.  Time for 
@Joebiden
 to so declare.  #ClimateEmergency #ClimateCrisis #ClimateStrikeOnline #GlobalWarming #GretaThunberg   #rtItBot #IARTG #museboost #ClimateStrikeOnline #Democrat #WhiteHouse https://t.co/bQ7rBnaOc2",California,USA2_0,1,0,2021-03-30 21:19:30
11,"This is a #ClimateEmergency @JoeBiden Needs to so declare.  #Democrats #WhiteHouse  #ClimateStrikeOnline #GlobalWarming #GretaThunberg   #rtItBot #IARTG #museboost #ClimateStrikeOnline
Quote Tweet https://t.co/3OgvkDN0dm",California,USA2_0,1,0,2021-03-30 21:17:41
12,It’s not #GlobalWarming it’s #ClimateChange fool!,,sana_mams,0,1,2021-03-30 21:16:31
13,"On @Newsweek, @eronblo explains why the private sector must focus first on protecting #forests, which offers the greatest near-term impact on slowing the rate of #globalwarming. 

@EmergentClimate @EnvDefenseFund @ClimateAdvisers https://t.co/mcBwD1JDnM","Brooklyn, NY",GPTInnovations,0,1,2021-03-30 21:00:38
