,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@USEmbassyAddis 'U.S. and Ethiopia Launch New $2.2 Billion Phase of the Productive Safety Net Program' THANK YOU VERY MUCH! USA @EACC_EAN Now let us focus on the Democratic Election in June! #UnityForEthiopia,,abiyegelaye23,0,0,2021-03-30 20:59:29
1,@kirstenoswald @NicolaSturgeon Are you sure you were watching the correct channel? Nicola could not answer why years ago she had not brought in the child poverty payment or why she had not delivered devices to schoolchildren 12 months ago - but instead she chose to wait for an election.,,HappyHGilmore,0,0,2021-03-30 20:59:28
2,@DemocracyDocket Can we advocate for making Election Day a national holiday?,New York,VickieVickie85,0,0,2021-03-30 20:59:26
3,The Tories are the lowest of the low. Its going to be dirty tactics daily until the election. Don't be fooled. https://t.co/cn1myxjCGH,"Scotland, United Kingdom",haggar1968,0,0,2021-03-30 20:59:26
4,@SenTomCotton ...said the insurrectionist group who supported overturning an election result they didn't like.,,ArkansasGoddam,0,0,2021-03-30 20:59:25
5,"🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Chaiiii Nigeria, look at who they are trying so hard to sell to us as the next president,  a sinile old fart who I'm sure is suffering from alzheimer's. 
Why do we keep recycling the same old imbeciles once election draws near...its shameful. https://t.co/SAoVkQktfv",,JYKEZ,0,0,2021-03-30 20:59:24
6,"@paulbuitink Based on our election outcome I am not so sure that most people do, let alone act accordingly.","The Hague, the Netherlands",PhilipsRein,0,0,2021-03-30 20:59:24
7,@haliwell51 @troutwhispers She hasn’t.  Her kind will be out of office when the election gets done with,"Alberta, Canada",Saskbornretiree,0,0,2021-03-30 20:59:21
8,Trump Crashes Mar-a-Lago Wedding to Whine About Election Loss https://t.co/r3Pj8yTN2i @GarethBurns1  wee late birthday present for you. 😂. I miss the big galoot,Coming to a town near you soon,Tonygervin535,0,0,2021-03-30 20:59:20
9,"@WaterDean Hear hear!  I will certainly NOT be voting Tory in the coming Scottish election!  I know that the government in London is corrupt, fascist and self serving.  I know that they don’t care for others only themselves and their cronies!",,LadyBel20569284,0,0,2021-03-30 20:59:19
10,"@CharlesPPierce Compared to the bills supported by the GOP in 43 states, Pelosi's actions are nothing.  The bills empower state legislatures to reverse the outcome of an election if they don't like the result.  The GOP wants 2 different legal systems for elections - theirs, and everyone else.","Toronto, Ontario",BregmanPs,0,0,2021-03-30 20:59:19
11,"ELECTION MONITOR #CALLS ON @SupremeCourtNg TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2018 EKITI GOVERNORSHIP ELECTION

https://t.co/ekVz2Yajdt

https://t.co/HVa3gzkITM

@NigeriaGov @NGRPresident @MBuhari @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:59:18
12,"@VivaCristoRey73 @pepelep21252390 I thank you for your prayers and please pray for all Americans detained in Venezuela. Now how can you win an election when you have the media, DC, big tech, the UN and the world against you?! Tax cuts 4 big companies= more investment in the economy=jobs=energy independence",,Souther99958003,0,0,2021-03-30 20:59:18
13,@kylegriffin1 Why hasn’t the election been investigated for fraud?,"Sometimes WI, sometimes AR",RFazoo,0,0,2021-03-30 20:59:14
14,"@tedcruz I love that Cruz is trying to get the word out, Boy if this was Trump, the Media would be outraged, but NO!! Biden and his Administration is ILLEGAL, he did not win the election, it was STOLEN, and should not be listened too.  Nick",,NickSue6,0,0,2021-03-30 20:59:13
15,@edward_runner @SenJohnBarrasso @SenateGOP @JoeBiden Can you think? Do you think? Do you think children marched to the border due to the great election? Do you think a president stating please come here actually endangers lives by creating the very facts happening now? Does the opposite behaviour(trump's) save lives? Think better,"Durham, uk",Regmorton3,0,0,2021-03-30 20:59:12
16,I can’t not tell y’all enough just how truly excited I am to vote against this ignorant racist incompetent ass clown come next election. https://t.co/slc0DR4jEB,Mount Sterling KY ,kaseyrobertson0,0,0,2021-03-30 20:59:06
17,@columeastwood SDLP are a joke. Roll on the next election.,,Redhandman123,0,0,2021-03-30 20:59:03
18,@KentuckyWatcht1 @WillRicci Gov. Bevin was trying to fix the Pension Fund ... Ex- Gov. Beasher took money away for Obamacare ... He wrecked the Pension Fund !! There were voter irregularities with Andy's election !! KY Supreme Court stopped Andy Beasher from stupid lockdown measures !!,,MikeCaudill360,0,0,2021-03-30 20:59:01
19,"I'm proud to be standing as the local @UKLabour Party candidate for the upcoming by-election in Bilton and Nidd Gorge! We have a lot of work to do to Build Back Community in Bilton after the pandemic, let's get on with the job!   https://t.co/v4vLrbrmoC",Yorkshire and The Humber,TylerReeton,0,0,2021-03-30 20:59:00
20,"@Mykey711Michael @kayleighmcenany @OutnumberedFNC @FoxNews @HARRISFAULKNER @EmilyCompagno Just to be clear in my tweet in reference to my comment on democrats outnumbering the Republicans the democrats are the ones that ALWAYS LIE , CHEAT AND STEAL TO WIN AN ELECTION BECAUSE THAT IS THE ONLY WAY THEY COULD WIN!!!",,DianneSammons3,0,0,2021-03-30 20:58:54
21,"@Keir_Starmer @TracyBrabin Ok soooo theres only one clear option in this election, LABOUR. Unlesss... you want more oppression and a lassie faier attitude.",Essex,StealZac,0,0,2021-03-30 20:58:54
22,@axios The election industry is ruining our country.,"Humboldt Co., CA. The world. ",molosgatos,0,0,2021-03-30 20:58:53
23,"ELECTION MONITOR #CALLS ON @SupremeCourtNg TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2019 KADUNA GOVERNORSHIP ELECTION 

https://t.co/S2Qg7yUK4G

https://t.co/hj2HVkMa7b

@NigeriaGov @NGRPresident @MBuhari @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:58:48
24,"Do politicians actually think, or are they always campaigning for their next election? Term limits will produce better laws?",,DanCook26214426,0,0,2021-03-30 20:58:45
25,"@RepRosendale They want to expand mail-in voting.  You put the word ""fraudulent"" in there to strike fear in your GQP base.  You are in a red state and you won the last election, with mail in voting, so what's your problem?","Montana, USA",abbypfwf,0,0,2021-03-30 20:58:40
26,"@GlobalTwitizen @marceelias So you support changing election laws to make it tougher to voter in order to fix a problem that does not exist?

Interesting.","Washington, DC",DrDigiPol,0,0,2021-03-30 20:58:40
27,@harrylitman Basically you are saying Fucks the freedom of Choice them Politicians will Love this during the election time😉..,,Lethu11674544,0,0,2021-03-30 20:58:40
28,"🗓 #OnThisDay in 2015, Parliament was dissolved marking the start of the 2015 General Election campaign. 

🔵 David Cameron: “You can choose an economy that grows, that creates jobs... or you can choose the economic chaos of Ed Miliband.”

#GE2015 https://t.co/PprkXkTEd7",,UKPolitics2010s,1,3,2021-03-30 20:58:40
29,"Of those votes cast none of ‘em come to me. None of ‘em.

@jpgilbert is rigging the election for his own personal gain! Sad! #stopthesteal https://t.co/vTIq3mEze7 https://t.co/td7UL2ktS8",,emily_banister,1,1,2021-03-30 20:58:38
30,"@BrendaSFBA Sad that some of us had to figure it out slowly a couple of years back. Like during the 2016 election, all I can say is I regret taking part of the situation choosing sides on who should be POTUS.",Divided States of AmeriKKKa,terrydow94,0,0,2021-03-30 20:58:30
31,"@AlboMP @RadioNational Fanciful electric car policy sank @billshortenmp at the last election.

https://t.co/lOlIFKXZPG",,messengitis,0,0,2021-03-30 20:58:30
32,"@sheltondesigner Your podcast isn't on voter I.D. laws being racist. Trying to prove there is no or little voter fraud is fruitless without complete audits of any election. The point is, what's the reason that voter I. D. Laws are inherently racist?",,ElijahDs_Mimi,0,0,2021-03-30 20:58:29
33,"ELECTION MONITOR #CALLS ON @SupremeCourtNg TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2019 KANO GOVERNORSHIP ELECTION 

https://t.co/uQlRdT7zks

https://t.co/SRMgLfCrf5
https://t.co/bxY0rk0vOh
https://t.co/zej1iDoN7A

@NigeriaGov @NGRPresident @MBuhari @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:58:28
34,"Confusion as Arizona Senate abruptly informs Maricopa County to hold transfer of materials for election audit https://t.co/KhKJO32xjU  

Published March 3, 2021@5:01pm",Everywhere,politicalHEDGE,0,0,2021-03-30 20:58:28
35,"@Ferric242 @BlMarketParade @philllosoraptor @kameleon_o @JonahDispatch @NotPapaP1 Well, as Time magazine pointed out, there was some help in ""fortifying"" the election","Horse Country, PA",HollyCabot,0,0,2021-03-30 20:58:27
36,"I've always loved the A10, what it lacks in style it makes up for in PURE DIRECT POWER.
One wonders how the military was goaded into engaging in a ""CONFLICT"" for 15 years under the presumption of an event that was fabricated... you know kind of like the last election
A-1 https://t.co/dOocirQ9Kf",,AlexHam58829699,0,0,2021-03-30 20:58:26
37,"We discuss the ups and downs of tonight's first TV election debate with STV News' political correspondent @stvewan and commentators @akmaciver and @AngelaHaggerty.

#scotnight at 10:40pm https://t.co/3INlpnI9nt",Scotland,ScotlandTonight,0,0,2021-03-30 20:58:26
38,"One alarming but relevant detail in new Georgia law is giving more election authority to the state legislature. This is bad precedent. All state legislatures are partisan by nature.
Election officials should be nonpartisan civil servants. Federal standards could help with this. https://t.co/e8ToYRCVBq",Twin Cities,susanbordson,0,0,2021-03-30 20:58:25
39,"Georgia Gov. Brian Kemp and Secretary of State Brad Raffensperger pushed back Tuesday against criticism of the elections overhaul the Republican-controlled General Assembly passed last week. #gapol

Capitol Beat story w/ Dave Williams: https://t.co/QzRJPW6Mmh https://t.co/dMShxZ1dOt","Atlanta, GA",beauvans,0,0,2021-03-30 20:58:24
40,My State is doomed. Nobody on the right is going to challenge this. Can vote in person until the Sunday after the election. So evil. #ElectionFraud https://t.co/UFI3pQJVF0,Jersey Shore,BigGuyScottso,0,0,2021-03-30 20:58:20
41,@sheikmaiam வருங்கால சந்ததி நம்மை சபிக்கும்..Well said Bro..Our Grandparents/Parents did a Huge mistake by 1. Voting for either one of the Kazhagams 2. Avoiding Election (Not Voting or NOTA). We had the Tool (#Nammavar) in our Hands who can able to recreate/repair the spoiled TamilNadu. #MNM,,AnbesivamRagu,0,0,2021-03-30 20:58:18
42,"@JasonFree @SpeedyG605 @Eyeroll_Shrugs @spincity615 @DavidAFrench In the last gubernatorial election, current governor did not recuse himself as secretary of state and essentially certified himself as winner. Nothing in this law addresses that conflict of interest because apparently free water in line is a bigger problem. (2/2)",,mr_arize,0,0,2021-03-30 20:58:13
43,"While Pushing to Overturn Certified Election, Democrat Lawyer Claims Republicans Want to Disenfranchise Voters https://t.co/IUhrCQoTZO",United States,pacasandrs,0,0,2021-03-30 20:58:10
44,'He's toast': Mike Pence's political future is bleak if Trump keeps blaming him for not overturning the election https://t.co/2kMOepfXCU,,3beesbuzz,0,0,2021-03-30 20:58:09
45,@nbary92 @Pedro_JaramiIIo @HotzeSandy @w_terrence Meaning he lost his attempt to overturn the election. 😂,"Austin, Texas",AngelaCapCorp,0,0,2021-03-30 20:58:09
46,"""critics [of tech billionaire's philanthropy] are using the wealthy as scapegoats rather than tackling the root drivers of inequality by fixing America’s education and criminal justice systems"" - worth a read on state of US elite philanthropy
https://t.co/CZHmYiKJz6","Lewisham, London",RichardHebditch,0,0,2021-03-30 20:58:09
47,"I’m 'pretty sure' our Governor reminded us to  
✔️ Vote for @jaslothower Jodie Slothower for Heartland CC Trustees
✔️ AND to Vote early or
✔️ Vote Election Day 4/6
✔️ Wear your mask
✔️ Keep your distance
✔️ Avoid poorly ventilated spaces https://t.co/dSJ3fTxaf4","Normal, IL",holthaus10,0,0,2021-03-30 20:58:04
48,"@BillyScrimshaw @RBReich The handing out water issue is only the tip of the iceberg.  

They are making it so they can overturn the election if it doesn't turn out the way they want. 

They are making everything Trump TRIED to do LEGAL.

⚠️ MUST WATCH ⚠️

Rachel Maddow 3/25/2021

 https://t.co/Y2v1TkTJXZ",United States,THE_OG_G_MA,0,0,2021-03-30 20:58:02
49,"ELECTION MONITOR #CALLS ON THE SUPREME COURT OF THE FEDERAL REPUBLIC OF NIGERIA TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2019 BAUCHI GOVERNORSHIP ELECTION 

https://t.co/CWzeu17oL4

https://t.co/uucKU88Z1n

@NigeriaGov @NGRPresident @MBuhari @SupremeCourtNg @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:58:02
50,Hammer says from 2016-2020 the numbers increased on thenMonday before Election Day,"Sherwood, AR",TheJayBir,0,0,2021-03-30 20:58:00
51,"“…the election. Powell and #Binnall also represented Michael Flynn…

The PAC keeps alive Powell's conspiracy-laced claim that the Nov. 3 election was rigged. As a result, the website claims, ‘Democrats abandoned their base and the Republicans betrayed theirs’."" https://t.co/t4EfiMNXhJ",,desderamona,0,0,2021-03-30 20:57:57
52,Good advert @UKLabour  https://t.co/80Zx8Fc5h0 via @skwawkbox,"Liverpool, England",DuncanKeeling,0,0,2021-03-30 20:57:49
53,Trump lost the election. I think it’s time liberals stop letting him live rent free in their heads 24/7,"New Haven, MO",BlakeEggers23,0,0,2021-03-30 20:57:46
54,"@ChristopherHahn ""We don't do name calling here""...unless it's about Socialists, Mexicans, Hunter Biden, AOC, Bernie, the Chinese, election lies, CNN, abortions, voting rights, AR 15 protection, cutting child poverty in half, Obama, Clinton, their kids, dolphins etc.",Offworld,CapoeVA,0,0,2021-03-30 20:57:46
55,"@BBCNews why isn't the Scottish Election 2021 debate showing up on Iplayer yet? I can get the Countdown to Debate programme on, but not the actual debate itself.

Surely the BBC should be making these things more accessible, rather than less so?",Derbyshire | He/Him,BroadhurstJosh,0,0,2021-03-30 20:57:44
56,"@CNNPolitics I saw a video of him giving a toast at a wedding held at Mar-a-Lago. It was a 5 minute speech about how he was cheated in the election, how the country is doomed, and why Biden is so horrible. A wedding toast. He did at the end toast the couple.",,dbergen_103,0,0,2021-03-30 20:57:44
57,"@Jamie_Weinstein Given that Sidney Powell herself has now admitted that no reasonable person should have believed her election claims, does Eric still believe them to be true? If so, why?",Oregon,DCGirlElizabeth,0,0,2021-03-30 20:57:43
58,'It is time for someone else': Four-term Edmonton city councillor Ben Henderson not running for re-election #yegcc https://t.co/7ymGiSqr7G,"Edmonton, Alberta",TrevorRobb_,0,0,2021-03-30 20:57:41
59,@iamderricknoi @gregkellyusa It's a fake news outlet that's spreads lies about COVID and the 2020 election.,"Manhattan, NY",JoeMyGod,0,0,2021-03-30 20:57:41
60,"It’s called fràüd... 
NEVER EXPLAINED: NINE TIMES on 2020 Election Night on Live TV a Total of Nearly 400,000 Votes Disappeared From President Trump's Column https://t.co/DK773k9H41 via @gatewaypundit","North Carolina, USA",Raybo34,0,0,2021-03-30 20:57:40
61,"ELECTION MONITOR #CALLS ON THE SUPREME COURT OF NIGERIA TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2019 PLATEAU GOVERNORSHIP ELECTION 

https://t.co/Pil2JumhED

https://t.co/U4sXtSjIBO
https://t.co/tA8bNOeBuE

@NigeriaGov @NGRPresident @MBuhari @SupremeCourtNg @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:57:39
62,@BBCUrdu This is temporary arrangements. Any Indian political party cannot win election without shelling on Pakistan or so called surgical strike against Pakistan.,"Karachi, Pakistan",naveedkhi,0,0,2021-03-30 20:57:39
63,@VerucaSalty76 @Judekarma909 Yup.....he campaigned on it.....and then stole the election,,zztop5252,0,1,2021-03-30 20:57:37
64,"@CPCJuiceBox @NDarago_stvm59 They’re being starved under false pretense. 

I’ve been working since august, people aren’t dying around me .

Also, how can you win an election when social media is censoring you, news media is lying about you, voting rules are bent before election.... it was fixed.. we all lost","Miami, FL",CiscoL4,1,1,2021-03-30 20:57:34
65,@Angry_Staffer Let’s conflate a dog nip with blackmailing a sovereign country for help winning an election.  Definitely on the same level of controversy.,"Severna Park, MD",coughlin_mark,0,0,2021-03-30 20:57:27
66,Is this the polly Toynbee that spent 5 years writing articles to undermine the election of a labour Government under corbyn. https://t.co/75dy9wsFhp,"Cambridge, England",PALythgoe,0,0,2021-03-30 20:57:27
67,Remember those “covid will magically disappear after the election” people? Haha fun times,"Poughkeepsie, NY ",JHensler25,0,0,2021-03-30 20:57:15
68,"ELECTION MONITOR #CALLS ON @SupremeCourtNg TO URGENTLY #REVIEW ITS JUDGMENT OF THE 2019 OGUN GOVERNORSHIP ELECTION

https://t.co/5CDmAOeXIa

https://t.co/6V8epwBzPg
https://t.co/uNrUjhSQBt
https://t.co/n6OynjyKdU

@NigeriaGov @NGRPresident @MBuhari @NGRSenate @HouseNGR",Abuja,electmonitorng,0,0,2021-03-30 20:57:12
69,Declassification of Scott Bennett Mission to Washington DC to Report on Election Fraud-Treason https://t.co/xmUnt09sSt https://t.co/4W6LWFvI7U,USSANews.com ,USSANews,1,0,2021-03-30 20:57:12
70,Elections will take place May 1. https://t.co/esCdIXxvNX,,impactnews_bmw,0,0,2021-03-30 20:57:11
71,"@bengbenro @ShehuSani @ShehuSani  is unrepairable looter! He is the type of people that make me hardly trust politicians. Because he lost election, he is now acting as if he cares about masses! Fake nigga!","Helsinki, Finland",ThePuni25091169,0,0,2021-03-30 20:57:11
72,I’ve worked the polls twice. Texas elections are run by ordinary Texans—and boy howdy are they secure. Read this excellent thread from @TheTexBex for why HB6 and SB7 are a anti-voting rights hammer looking for a nail at #txlege &amp; do nothing to enhance “election integrity” in TX. https://t.co/PQ2sKxXtdV,"Austin, TX",nthnryn,0,2,2021-03-30 20:57:06
73,@RebelGunSon @shortnormaltrip @q_lunacy @newsmax The truth is your boy Don is 1-63 in fraud cases  regarding the election.  Youre not listening to the truth.,"Queens, NY",theusualsuspek,0,0,2021-03-30 20:57:05
74,"@nicktolhurst Got to get 2 first, anything ‘EU’ is going to be too toxic and divisive, make progressive changes in how the country is run inc electoral reform. Then 1 after a decade as an election manifesto but the terms of rejoin as all options. Whoever that is...whoever can win.",UK,DustmanUK,0,0,2021-03-30 20:57:03
75,"A special election takes place today in the Massachusetts House 19th Suffolk District. Jeffrey Turco (D), Paul Caruccio (R), and Richard Fucillo (Independent) are running for the seat. https://t.co/WVTIBgOGYS #mapoli #spelex https://t.co/4oQALL0oLV",United States,ballotpedia,0,0,2021-03-30 20:57:02
76,@ErinEckl @lootlogic @nicole_in_AB @Spin_Assassin @MaverickPlan @maverick_party Well over 1 general election and 2 by elections the PPC has managed to win zero seats. If you’re asking me to pick between the existing parties the PPC is not it. You’ll see when they can’t field 338 candidates at the next election,,WesternCanada1,0,0,2021-03-30 20:57:01
77,"On @townsquaretalk, @ErnieOnTV is reviewing the #ElectionIntegrity bills considered by #txlege this session. SB1111 helps address the concerns that arose during 2018 election, where thousands of voters in Harris County listed PO Boxes as home addresses. https://t.co/wz9r2pfd6G","Houston, Austin & DC",VladDavidiuk,0,0,2021-03-30 20:57:01
78,@minden_c @Msmariablack We'll see after the next Canadian Federal Election!!😁😁😁 Going BIG!!😉😉,"Ontario, Canada",ZnoneoftheAbove,0,0,2021-03-30 20:57:01
79,"Don't know why we're even bothering with the London mayoral election, it's pretty obvious Khan is going to win.

The Tory candidate is sodding useless, the Greens &amp; LibDems don't really exist &amp; all the others are just random blokes experiencing various forms of mid-life crisis.","Yorkshire, United Kingdom",InTheLionsDen_,0,3,2021-03-30 20:56:57
80,"@FredRod69319021 @JackPosobiec Evidenced by the election, not as many morons that is in the Democrat party",,Jonathan_Adkins,0,0,2021-03-30 20:56:53
81,Lying macananny should be on her knees apologizing to the thousands of Americans she killed by lying about covid and the election. She spent enough time on her knees with trump she must be used to it. https://t.co/KWMjscdsrd https://t.co/zOYu49hEwJ,,Bell12Jim,0,0,2021-03-30 20:56:50
82,Douglas Ross was truly awful on that #BBCLeadersDebate. What a disaster for the Conservatives! So who else will lead them after they lose seats in the Holyrood election? 🤔,,loxiascotica,0,1,2021-03-30 20:56:50
83,"The PPP wants to maintain its power in Sindh. The PML-N wants to sweep Punjab in the next election. Ideally, they should’ve prioritized principle over power. But no need to berate either. This is power politics 101.",Unknown,AqilShah_,0,0,2021-03-30 20:56:49
84,"@JoeManchinWV 

You have a duty and obligation to abide by what your constituents want.

What they want is for you to back killing the filibuster so we can get shit done.

If you don't you will be removed next election. Stop being the only blockade to getting things done.

#doit",United States,TrumpFNN,0,0,2021-03-30 20:56:48
85,"@obyezeks I wonder ooo.
They are busy strategizing another deceitful tactics ahead of 2023 election
#change2015",Ikeja,AdegboyegaTaiwo,0,0,2021-03-30 20:56:48
86,"@briantylercohen ""I was told the election would be overturned.""",,GritsLow,0,0,2021-03-30 20:56:47
87,"Israel's fourth election doesn't shake its credit rating, for now

#Israël #ישראל

https://t.co/ZRj23M07PB",France,isra_net,0,0,2021-03-30 20:56:47
88,"@advocateclaire @DavidChenTweets @rohanarezel A lottery?!  Good gawd.

The NDP is still far superior to the bad-intentioned BCLibs re: public education... but if they dont improve standards, some of us progressives will start whispering campaign tips to the Greens on how they can steal frustrated NDP votes next election.",SouthWest BC,heckleNjive,0,0,2021-03-30 20:56:47
