,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Why the loss of sharks is accelerating climate change #ClimateChange  https://t.co/kCFCxFKse1,Worldwide,Meaning_2_Life,0,0,2021-03-30 23:17:17
1,"GREENLAND, LABRADOR, and BAFFIN ISLAND:  A Climate Change Research Expedition in the North Atlantic #ClimateChange https://t.co/8PNEVBPGBj https://t.co/Ux5dDARrPR","Los Angeles, CA",RobertGKetchum,1,0,2021-03-30 23:15:09
2,"GREENLAND, LABRADOR, and BAFFIN ISLAND:  A Climate Change Research Expedition in the North Atlantic #ClimateChange https://t.co/XAqhLZHKDL https://t.co/BVle20LEqA",Planet Earth,RbtGlennKetchum,1,0,2021-03-30 23:13:32
3,"@coalisdead @mattjcan If Canavan reads the article, he will see that #ClimateChange is going to destroy the Great Barrier Reef.

/2 

#auspol",Australia,EdwardJWHunter,0,0,2021-03-30 23:11:33
4,@business China really doing its part to help #climatechange https://t.co/8QBesRm9Yg,"Victoria, BC",pwoody19,0,0,2021-03-30 23:07:19
5,"Scientists discover unique Cornish 'falgae' https://t.co/0OIcIWx8Wf

#science #Biodiversity #Biology #ClimateChange #EcologyEnvironment #Evolution #FisheriesAquaculture #Genetics #MarineFreshwaterBiology #PopulationBiology https://t.co/cfQuX9pTY4","New York, USA",bioengineerorg,1,0,2021-03-30 23:05:50
6,"#climatechange needs to be sorted?? 

Do we agree",,Worldwideresear,1,0,2021-03-30 23:05:18
7,#Seaspiracy was eye opening. Fishing is destroying us. Leave it to the small time locals. Commercial fishing needs to stop!!!  GO WATCH! #CLIMATECHANGE,,GANGSTApee,1,0,2021-03-30 23:04:35
8,"#Singleuseplastic is a #climatechange issue.  Most plastic comes from #fossilfuels, with resultant GHG; burning plastic generates yet more GHG.  &lt;10% has been recycled, some burned, but most remains in landfills, polluting the environment.","Albuquerque, NM",fossilfreeusa,1,0,2021-03-30 23:04:15
9,JJFH Event Update For 2021-03-28 https://t.co/GTOkA5BJ4i #JJFHypothesis #Extinction #Atmosphere #Environment #ClimateChange #Methane #H2S #Fires #Explosions #Coast #Death #Flooding #Arctic #Heatwave #DryOrDie https://t.co/PH4j1luI5t,"St Louis, MO",JJFHypothesis,1,0,2021-03-30 23:03:34
10,"The Urgency Is Immense: Wind And Solar Power Double In 5 Years, But Countries Are Clinging To Coal. The world has doubled its wind and solar energy generation in five years, but countries are... #sustainability #climatechange #utilities #energy #renewable https://t.co/D5OwmOWInk",mexico,mlc11580,1,0,2021-03-30 23:00:28
11,"@wetheclimate explores all perspectives of #human endeavor in the era of #climatechange - #science, #social, #art, #culture, #technology, #economics and #personal. 
Join us and visit us at https://t.co/8ZfVykXqBs https://t.co/6hsxDFZccW",,wetheclimate,1,0,2021-03-30 23:00:25
12,How Will the Biggest Tropical Trees Respond to #ClimateChange? https://t.co/ANruBSqEIS @smithsonian #environment,"New York, NY",pndblog,1,0,2021-03-30 23:00:19
13,#ClimateChange &amp; #HumanRights are top priorities @POTUS @JohnKerry the world needs America’s help to stop the climate crisis. Will you reduce US carbon emissions by 50-70% below 2005 levels by 2050 &amp; commit new climate financing 2 help countries mitigate &amp; adapt 2 climate change?,"Honolulu, HI",JCooperHawaii,2,0,2021-03-30 23:00:08
14,"Economists believe ""#climatechange would worsen global inequality"", and ""that the benefits of net-zero emissions by mid-century would vastly outweigh the costs."" Act now to demand a #GreenandJustRecovery ahead of the #budget2021: https://t.co/RYe0oXyT7M #YourBudget #canpoli",Canada,WWFCanada,1,0,2021-03-30 23:00:05
15,"#ClimateChange has impacted many countries in a big way. In #Mongolia, where half of the population rely on #AnimalHusbandry for their livelihood, #droughts, #sandstorms and heavy #snow have left livestock with little grass to feed on. (Photos by Da Ai TV) https://t.co/kLUH5g8i5v",,tzuchi_culture,1,0,2021-03-30 23:00:01
16,"Concerned about climate change? Help Healthy Gulf map land loss in the Gulf and protect vital wetlands.

https://t.co/IVmyBkQmQx

#landlosslookout #citizenscience #climatechange #landloss #lookout for wetlands #gulfcoast",New Orleans and the Gulf,HealthyGulf,1,1,2021-03-30 23:00:01
17,"In every practical sense: #oilandgas is a volitile/dangerous commodity that poses a risk to the existence of humanity and the environment.

#climatechange #pollutionisreal #OILSpill #TailingsPonds #OrphanWells #explosion https://t.co/wl5nRDvTnk","Calgary, Alberta",ThesisPi,1,1,2021-03-30 22:59:39
18,Doing too little about #climatechange is the MOST expensive alternative. https://t.co/X0xfEQdSoW,San Francisco,BruceMirken,1,0,2021-03-30 22:56:13
19,"@erinotoole Young Canadians care about #climatechange, your party does not. Sit down, Archie. #CPCLies #ClownParty #cdnpoli",,TheGMan_2021,0,0,2021-03-30 22:54:12
20,"21 degrees tomorrow, 60% chance of snow next Monday. #climatechange? https://t.co/s6f8YcTFb8",,wiggazzz,1,0,2021-03-30 22:54:06
21,"Support #climatechange initiatives and practice #ecofriendly habits throughout your daily lives. 🌳

One hour of change can spark many green light bulbs. 💡

Do your bit and Turn your Green ON! ✅

#ecopackza #EarthHour #green #sustainableliving https://t.co/jXQCEXQ9DB","Cape Town, South Africa",ecopackZA,1,1,2021-03-30 22:53:03
22,also Europeans take #ESG &amp; #ClimateChange more seriously 😎  #IOTA🦋 https://t.co/9z5l8VDzzN,everywhere and nowhere,c4chaos,0,2,2021-03-30 22:48:50
23,Solve Climate Price Carbon https://t.co/xaSfoalslL via @YouTube #climatecrisis #climatejustice #climateemergency #climateaction #climateactionnow #climatechange,"New Hampshire, USA",Maynard1Rick,2,1,2021-03-30 22:47:22
24,I was intrigued with @niftygateway's recent #carbondrop auction that raised $6m for combatting climate change. I was curious what artists thought about it and did a survey. Here are the results. #nftcollector #nftart #NFTartist #NFTCommunity #ClimateAction #climatechange,Seattle,artmin,3,5,2021-03-30 22:46:30
25,"A California city moves to ban all new gas stations 

https://t.co/UWkhnMp1OX by @michelle0728 via @electrekco 

#ClimateChange
Cc @DeepLearn007 @HaroldSinnott @terence_mills @sallyeaves @DrJDrooghaag https://t.co/qZgeqsjzs6","Marseille, France",ipfconline1,8,3,2021-03-30 22:45:04
26,"US Army on the arctic 😱... this is scary👇
📌""Thawing permafrost has the potential to release previously frozen bacteria and viruses to which Soldiers have not been previously exposed""

https://t.co/pv5vCkHjIM

#military #defense #climatechange","Washington, DC",QContrarian,1,0,2021-03-30 22:45:01
27,"The spoilt brat country: 
“expats praise Australia’s handling of the pandemic, but also see 
- a closed off mindset that sent them away in the first place.” #auspol
- are uncomfortable with a political shift to the right, particularly on issues such as #climatechange &amp; #refugees https://t.co/ZC04Cs2eBy","Sydney, Australia",PplJustLikeUs,1,0,2021-03-30 22:44:29
28,"Which one obsorbs Co2 most on Planet Earth 🌎?
..
#carbon #climatechange #ClimateCrisis #ClimateAction #AirPollution",Worldwide,Carpe__Diem_26,1,0,2021-03-30 22:44:26
29,Watch Shadows in a Desert Sea: https://t.co/3gLa8lhzAk #HowardHallProductions #ocean #scuba #scubadiving #underwater #oceanprotectionleague #climatechange https://t.co/tubZCkIeU1,,OceanProtectL,1,1,2021-03-30 22:42:03
30,"MIRRECO™ CAST®.

Following the release of our Roadmap, here are Future Applications for our CAST® Technology.

#renewables #sustainability #hemp  #oneplanet #business #industry #climatechange #innovation #energy #technology #blockchain #future #environment #climate #netzero https://t.co/YhK1siFHaj",AUS : UK : EU : US,Mirrecogroup,0,0,2021-03-30 22:41:16
31,"A must-read long article today in @ConversationEDU to understand where are we going, how serious #climatechange &amp; #GlobalWarming are &amp; how they are affecting Australia https://t.co/gW4fQcpuqb by Prof Ove Hoegh-Guldberg @UQ_News and Prof Lesley Hughes @Macquarie_Uni","Sydney, Australia",El_Lobo_Rayado,0,0,2021-03-30 22:40:46
32,"Reading through #Scotland’s 2020 update to their #climatechange bill gives me hope. Yes, we can reduce #emissions and grow the economy at the same time.

📷: Edinburgh from Arthur’s Seat, 2019 https://t.co/X4zac4uLDS",,mglatzel,0,2,2021-03-30 22:39:20
33,@johnson_wrjohn1 @Robert76907841 @Osprey0 @GraceIrene21 @RoyPentland @0Sundance @Barbarajdurkin @DK25769559 @KCTaz @RijpeW @MikeDel21893959 @peteh678 @KeillerDon @rogermarksmen @d_e_mol @TheDisproof @MedBennett @GZzyzyx @CarrudoDon @Narvuntien @fishyfish67 @jimdtweet @alison_pannell @Climatehope2 @BubbasRanch @StormSignalSA @Askgerbil @cjtjgeol @troll_ned @Barrtecforever @stupid_cowboys @300cba @jgorman2424 @no2wind @IBergwiesel @Coconutdog01 @williamogilvie1 @gmvasey @PeterMayfitz @SharkSandwhich @unitambo @RustyAway @Zane1968 @thinks_about_it @tasmaniacal1 @japett @DawnTJ90 @Felipe_Grey95 @Deefadog4me A little dab of Vaclav Smil never hurt anyone. https://t.co/yoVKNJvEzN Energy expert + Prof. Emeritus of @UManitoba #climatechange #NetZero2050,,FriendsOScience,0,1,2021-03-30 22:39:13
34,Seriously ugly: here's how #Australia will look if the world heats by 3℃ this century - The Conversation AU #climatecrisis #climatechange  https://t.co/tYbTxTfcQU,,peciacake,0,0,2021-03-30 22:38:46
35,"I sniff a Climate Change.
#ClimateChange #ClimateAction #COVID19Vaccine #DataScience #Biden #Warzone #KEY",Internet,ISniffGlu3,1,1,2021-03-30 22:38:09
36,Why the loss of sharks is accelerating climate change #ClimateChange via https://t.co/CWAmtde1cs https://t.co/HeNf8Vc0NG,,LtdBeat,0,0,2021-03-30 22:35:36
37,"Vatican makes moral case for supporting people displaced by climate change @SightMagazine #Vatican #CatholicChurch #climatechangedisplacement #climatechange #CardinalMichaelCzerny #PopeFrancis

https://t.co/6OS1zwGU1G",Australia,sightmagazine,0,2,2021-03-30 22:35:02
38,"An ""inside"" tip: Homes &amp; Buildings can help us fight #ClimateChange! The #ORClimateAction Plan aims to make buildings better, which means lower bills, healthier air inside, less pollution outside, and renewable energy. How's progress going? Read here: https://t.co/mD3gg5cu1l https://t.co/z9xDtxvKO8",PNW,Devonskyyyy,0,0,2021-03-30 22:34:33
39,"For #ClimateAction, please contact your elected officials to urge them to prioritize bills that #ActOnClimate. We can't just post articles on social media on #climatechange. We must contact our members of Congress, state legislators &amp; local leaders to create #climate policies. https://t.co/Dn3CYcMm3s","Portland, OR",BrianEttling,1,4,2021-03-30 22:33:13
40,Why Focusing On Cutting #Emissions Alone Won't Halt #EcologicalDecline #climatechange #climatecrisis #climate... https://t.co/j3Yb6KvecB https://t.co/xkj7L14526,Florida & Nova Scotia,PolyConundrum,0,0,2021-03-30 22:33:11
41,"🆕 #EUAdaptationStrategy 🇪🇺♻️

✳️ Even if we cut all emissions today, #ClimateChange wouldn’t go away

✳️ We need to adapt to the changes happening now &amp; plan for the future to prevent &amp; limit the damage it can cause

https://t.co/PYPRpB2x6I

https://t.co/FrBGxP43Ii","Islas Canarias, España",ClimateCanary,0,0,2021-03-30 22:31:36
42,"John gets his 2nd jab and is suffering from brain fog. Jay Leno bends a knee to the woke mob, Sesame Street gets 2 new black muppets. Climate change is making dicks smaller #wokemob #sesamestreet #climatechange #podernfamily https://t.co/BbMAOkOmHy","Philadelphia, Pa",bullhornpod,2,0,2021-03-30 22:30:24
