,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Seriously depressed about the slowass #StimulusCheck money not being here yet! I had a 1 year old crown just break off, and I can't even get an exam done till I have $150- get this- because I have private insurance!","Michigan, USA",OoSayCanYouSee,0,0,2021-03-30 22:50:26
1,"HUGE REAKING NEWS TUNE IN RIGHT NOW !!!!!!
LIVE! SUBSCRIBE + SHARE  

🏡 HOME LALATE 🏡  SHOW #1
TUNE IN! ▶️▶️   https://t.co/HU63KJ72Qg

🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #FPUCRETRO 💵 #MSC
#stimuluscheck
#stimuluschecks 
#SS200 15",Established October 2007,LALATE,1,0,2021-03-30 22:40:00
2,This should have been happening the entire time. One time payments aren't helping anybody in the long term. #StimulusCheck #COVID19 https://t.co/wHXtw5Wo4U,"Florida, USA",workers4change,1,1,2021-03-30 22:30:54
3,"LIVE! SUBSCRIBE + SHARE  

🌊 AFTERNOONS LALATE  🌊  SHOW #1
TUNE IN! ▶️▶️  https://t.co/8LbN9ppgKO

🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #FPUCRETRO 💵 #MSC
#stimuluscheck
#stimuluschecks 
#SS200 3",Established October 2007,LALATE,2,1,2021-03-30 22:30:00
4,"LIVE! SUBSCRIBE + SHARE  

🏡 HOME LALATE 🏡  SHOW #2
TUNE IN! ▶️▶️   https://t.co/AXhMWYYisw

🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #FPUCRETRO 💵 #MSC
#stimuluscheck
#stimuluschecks 
#SS200 3",Established October 2007,LALATE,1,1,2021-03-30 22:29:00
5,"@RepCuellar not only ensures by voting for #AmericanRescuePlan that we can make ends meet. He’s here 2 guide anyone still seeking #StimulusCheck pymts not yet received. Be sure to take a 👀 
And be sure to give Rep Cuellar 👇a follow. Here’s here for  USa🇺🇸💙

#DemVoice1 
#Fresh https://t.co/tIpe6tItrx","Illinois, USA",MaribethJur,18,21,2021-03-30 22:24:16
6,"LIVE! SUBSCRIBE + SHARE  

🌊 AFTERNOONS LALATE  🌊  SHOW #2
TUNE IN! ▶️▶️  https://t.co/4cdUEeVUrj

🎥 #LALATE 💜 #PURPLEPOWER  💜 #SEATS4STIMULUS  🗳️ #FPUCRETRO 💵 #MSC
#stimuluscheck
#stimuluschecks 
#SS200  3",Established October 2007,LALATE,0,1,2021-03-30 22:16:00
7,"#SSDI #SSI #VETS #RRB #SENIORS #StimulusCheck  #Stimulus

Keep Your Fingers crossed, guys!  They finally committed to a date! Courtesy of @News_Sense1 😎 https://t.co/qLd8nJgUer","Indiana, USA",Lizbethk58,1,7,2021-03-30 22:15:59
8,A 4th #StimulusCheck @JoeBiden come on wit it,,Owl_Take1,0,0,2021-03-30 22:04:29
9,$CERPQ &gt; $HMBL at the moment @stoolpresidente @WSBChairman @chamath #dogecoin #btc      #Coinbase Pro $LRC for crypto too #DiamondHands #hotstocks #stimmy #Stimuluscheck @TheLioncom @Jcazz17 #Dogecoins @wallstreetbets @wsbmod https://t.co/3H9UCGoQzf,,arkofthe90s,0,2,2021-03-30 21:57:14
10,"It's Tuesday &amp; the vile evil.... are talking next week before the #StimulusCheckDisaster may be resolved.

Meanwhile prices are rising, they get to keep the interest on the money.

https://t.co/9ZjufVyf1X 

#StimulusCheck #StimulusChecksNOW #economy #money #news #inflation #media",United States,cureworks,0,1,2021-03-30 21:47:41
11,The crab population jas taken a hit this year already. 😂 #StimulusCheck #taxes #COVID19 #crablegs #freelitv #Trending #Tuesday #tuesdaymotivations,,FreeliTv,0,0,2021-03-30 21:46:50
12,"If you're on SS/SSI/Railroad and waiting on your #StimulusCheck, the @IRSnews says most payments will be sent electronically to bank accounts by 4/7.  Those getting VA benefits, mid-April.  This tool will be updated this weekend:  https://t.co/fGE1ZgQ2WI","Rochester, NY",WHEC_JLewke,1,0,2021-03-30 21:45:26
13,"I can't believe that #IRS had my bank acct info just fine to collect taxes owed, but said it didn't have it to deposit my #StimulusCheck . Then wasted making a plastic debit card from a sketchy ""bank"" that made me register personal info to get my money transferred to my bank.",,AlphaKiloWhisky,0,0,2021-03-30 21:43:26
