,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@ZupancicJareen Follow #BidenLies #BidenLied and #BidenRemorse and #BidenRegret,,Trish22758076,0,0,2021-03-30 22:59:04
1,"Link to get :👇👇👇
https://t.co/kRoIosUS6y
#Trump2024 #Trump #fuckbiden #BidenLied #Republicans #Republican #MAGA2024 #AmericanIdol #USA #NewYork #newyorkpost #Florida #Texas #Washington #California #NativeAmerican #Patriot #patriots https://t.co/7AWhzGO0HQ",Etats-Unis,Hicham21940587,1,0,2021-03-30 22:48:48
2,"#Trump 🇺🇸
WaPo Fact-Checkers Slam #BidenLied for Georgia Election Law Claims: ‘Four Pinocchios’ https://t.co/k1lvAUdrPg","Hyères, France",C_W_UK,0,0,2021-03-30 22:47:54
3,"YouTube doing away with dislikes bc of Whitehouse and You Social Justice CeeUNextTuesdays.
#youtubehelp #BidenLied #SocialJusticeWorriers #LiberalismIsTheRealPandemic #dislikes #vaccine #POTUS #BidenOfBones #JoeBiden shill prez #JoeBidenDown #stevencrowder #crowderchauvinstream","Clown World, USA",BEcAMearekonING,0,0,2021-03-30 22:46:12
4,"Everyone knows this is happening to protect #Biden.

Anything he does gets slaughtered on YouTube, because that's the truth, and they can't handle the damage anymore.

Next stop: Vax Passports, Censorship, and Information Suppression

#BidenLied #Trump2024 https://t.co/w41AA28Dkj",,BilukCyril,0,0,2021-03-30 22:39:17
5,"@CNN OUR #KidsInCages are better than THEIR #KidsInCages
OUR Racist is better than THEIR Racist
OUR Rapist is better than THEIR Rapist
#HunterBiden is better than @DonaldJTrumpJr
Never mind @JoeBiden"" dog Major, here's an adorable CAT!  😻😍😻
#BidenLied #WheresMy2k #ImpeachBiden https://t.co/u0wIq0SSN9",Mayberry,BobSmith4152,0,0,2021-03-30 21:54:19
6,"@Angry_Staffer OUR #KidsInCages are better than THEIR #KidsInCages
OUR Racist is better than THEIR Racist
OUR Rapist is better than THEIR Rapist
#HunterBiden is better than @DonaldJTrumpJr
@JoeBiden's dog Major is a #MAGA and hey there's his CAT!😍😻😍
#BidenLied #WheresMy2k #ImpeachBiden https://t.co/89p50hRJxM",Mayberry,BobSmith4152,0,0,2021-03-30 21:53:07
7,I’ve never seen anyone protect a person like big Tech is doing for Biden #BorderCrisis #BidenLied #Control #informationWar https://t.co/c6P7b3MH5E,"Hudson, FL",StupidFlGuy,0,0,2021-03-30 21:36:21
8,"I’m tired of being imposed on! @JoeBiden why are our kids not in school? I’m SICK of your America last policies! Don’t you dare flood our country with illegals when you are not even taking care of our children! 
YOU DISGUST ME! #BidenLied #BidenBorderCrisis
#BidenAmericaLast",,CindyForAmerica,0,0,2021-03-30 21:28:45
9,"#stopAAPIHate  #ABCNews  #CNN #Hannity #TuckerCarlson #AmericaFirst #FoxNews #OANN #Newsmax #TheFive #CancelCulture #Trump2024 #woke #BlackLivesMatter  #antifa #BidenLied #Biden #StopAsianHate  #Biden #MSNBC 

How DARE you point out the TRUTH! hehe https://t.co/s9eYP5M82X",,EJKorvette,0,0,2021-03-30 21:05:29
10,"...more food for thoughts ... #stopAAPIHate  #ABCNews  #CNN #Hannity #TuckerCarlson #AmericaFirst #FoxNews #OANN #Newsmax #TheFive #CancelCulture #Trump2024 #woke #BlackLivesMatter  #antifa #BidenLied #Biden #StopAsianHate  #FakeNews #MAGA #Trump #MSNBC
 https://t.co/CHrQVAXN17",,Cazzimmax,0,1,2021-03-30 20:53:07
11,...food for thoughts ... #stopAAPIHate  #ABCNews  #CNN #Hannity #TuckerCarlson #AmericaFirst #FoxNews #OANN #Newsmax #TheFive #CancelCulture #Trump2024 #woke #BlackLivesMatter  #antifa #BidenLied #Biden #StopAsianHate  #Biden #MSNBC https://t.co/Xe6g66QypM,,Cazzimmax,0,3,2021-03-30 20:33:35
12,"@TeamYouTube have just admitted that @POTUS is the MOST UNPOPULAR #President ever! They even have to hide the many dislikes he gets! 
#ManufacturingConsent #Democrats #Democrat #DemocratsAreCorrupt #bidendown #bidenlied
@GOPLeader @newsmax @TuckerCarlson @ChanelRion #Trump2024 https://t.co/ctxr2SKrH4",,EuroWarsOrg,2,2,2021-03-30 19:55:07
13,"I do not consent to your vaccine passport. #IWillNotComply 
#BidenLied https://t.co/nvnMyOpTBB",,Freedom49289687,0,0,2021-03-30 19:43:16
14,BREAKING NEWS ALERT 🚨 ON @CNN @NBC @ABC @BBC  #COVID19 #BidenLied #BidenBorderShambles #VaccinePassport https://t.co/M5t8hYaYSO,"North West, England",arhselk,2,1,2021-03-30 19:30:04
15,Agree or Disagree? #newsmedia #wwe #aew #news #COVID19 #BidenLied https://t.co/Opgzwkdgff,United States,ItsTheCostanza,0,0,2021-03-30 19:27:49
