,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"@monahan_greg Your Biden talking point got ""Four Pinocchios"" - What else did that section say?  It said they added another Saturday and two Sundays.  Take it up with the WaPo.  He lied.","Fayetteville, AR",Chadrickd,0,0,2021-03-30 20:10:29
1,@fashiongranny1 @jessica_watson8 @davidmweissman There was a plan in place. Biden lied. Even Fauci said as much. Good God.,,kungfuninjaman,0,0,2021-03-30 20:06:29
2,Joe Biden to announce $3 trillion in tax hikes to pay for huge infrastructure plan https://t.co/3mIIbeGveF via @Yahoo I thought he wasn't going to tax the middle class . You people that voted for him got lied to again by this guy .,,CraigDexter7,0,0,2021-03-30 20:01:43
3,@GOPChairwoman Joe Biden lied. Not a new concept. The man has no integrity whatsoever.,,kkahi4,0,0,2021-03-30 19:56:37
4,@RepBenCline @HouseGOP @CBP Umm we are not stupid look at the 2019 numbers at the #border under #trump it’s not on #Biden numbers rose for 9 straight months before @POTUS even became #President enough of the @GOP lies! In 4 years 1 member of your party lied 🤥 enough for all of America and you all followed https://t.co/WypvUNefmU,"Georgia, USA",TheDemocratDad,0,0,2021-03-30 19:49:35
5,"@KenGardner11 They all lied about all of this...

Biden is a true Trojan Horse here.","Atlanta, GA",TFC3Tweets,0,1,2021-03-30 19:42:52
6,"@CnoteGroyper @sirhottest The Big Lie? He caused ~400k deaths; lost popular vote 2x; NEVER had a &gt;50% positive rating or led in a poll; lost WH, midterms, House, Senate; 63 Crts, some R judges, 5 state bodies, &amp; Supreme Crt all conspired to deprive tht loser? He lied for $$, to save face, &amp; hurt Biden https://t.co/X3af44RkYO","Orange County, California",GuruLaker,0,0,2021-03-30 19:41:00
7,"@pbaratelli @sirhottest The Big Lie? He caused ~400k deaths; lost popular vote 2x; NEVER had a &gt;50% positive rating or led in a poll; lost WH, midterms, House, Senate; 63 Crts, some R judges, 5 state bodies, &amp; Supreme Crt all conspired to deprive tht loser? He lied for $$, to save face, &amp; hurt Biden https://t.co/MmhT7f42sT","Orange County, California",GuruLaker,0,0,2021-03-30 19:40:31
8,@MaGilbert77 Biden has always lied,Northern Alabama,MartyStewart999,0,0,2021-03-30 19:38:20
9,"@MarthaRaddatz maybe have @dougducey' on again to explain why he lied on national tv about border.
https://t.co/AWt75p4eCM

via @GoogleNews",Phoenix,rjsbabe,0,0,2021-03-30 19:35:38
10,@TheChefsGardens @birdisthewyrd @jude_1983 @BillPascrell @RepRichardNeal @RepJohnLarson @RepDannyDavis @WaysMeansCmte Because your being lied too. This has nothing to do with Trump . I always got the stimulus when he was in charge . Dems wrote the bill wrong and didn’t pay SSA this is the Biden administration who messed up . Biden could have fixed it but he’s probably napping,,LorieMogni,0,0,2021-03-30 19:28:33
11,"@storyexperiment @JamesLeeOsborne @sirhottest The Big Lie? He caused ~400k deaths; lost popular vote 2x; NEVER had a &gt;50% positive rating or led in a poll; lost WH, midterms, House, Senate; 63 Crts, some R judges, 5 state bodies, &amp; Supreme Crt all conspired to deprive tht loser? He lied for $$, to save face, &amp; hurt Biden https://t.co/hbtVJT2U3e","Orange County, California",GuruLaker,0,0,2021-03-30 19:25:55
12,"@WeWhoDieSaluteU @MBalsich Biden's approval was 87% among Dems, 11% among Republicans.  OP lied and these goobers were so eager to believe it and so out of touch with reality that 11% seemed plausible. https://t.co/5W36763xit",Way down south,Roses4noses,0,0,2021-03-30 19:11:31
13,"Oh, NOW the Washington Post admits that Biden lied about the new GA voting law. (I mean, it's not that hard to read it.)

The first thing one needs to know about Biden is that he lies about everything. https://t.co/5EpGlr0zcG","Charlottesville, VA",hulsey_ryan,0,0,2021-03-30 19:07:06
14,"Still nothing for 30 million of us. 
And Biden is out to lunch. 

Trump crony Andrew Saul and his deputy David Black delayed the COVID relief checks of 30M seniors &amp; people with disabilities. Then, they lied about it.

@POTUS, it’s time to stop the sabotage. #FireSaulAndBlack.",,Drivenbitch,0,0,2021-03-30 18:49:53
15,"@DavidAFrench @JohnJHarwood Likely that Biden didn’t intentionally mislead or lie here, probably misinformed or misremembered. As compared to his pathological liar predecessor, who intentionally lied about everything.","Houston, TX",Barleymasher,0,0,2021-03-30 18:49:04
16,"BIDEN HAS NOT
✅Golfed
✅Grabbed anyone by the pussy
✅Ignored science
✅Lied about the virus
✅Cozied up to dictators
✅Fired people for not lying
✅Mean tweeted
✅Ripped children from parents
✅Attacked DOJ, FBI, DOD, the House, the Senate, the Supreme Court &amp; the Constitution https://t.co/SkCy0EesWE",Comfortable chair,lisa_ivanov,0,0,2021-03-30 18:45:47
17,@kylegriffin1 @axios Leave the rate and close the loopholes like Republicans promised. Remember the party line; “lower the rate to broaden the base and close loopholes”. Every single one of them said the tax cut was revenue neutral. They obviously lied but Biden should make good on their promise.,,JBSmartMoney,0,0,2021-03-30 18:44:02
18,"Trump crony Andrew Saul and his deputy David Black delayed the COVID relief checks of 30M seniors &amp; people with disabilities. Then, they lied about it.

@POTUS, it’s time to stop the sabotage. #FireSaulAndBlack. FRANKLY, WHAT THE HELL IS BIDEN DOING ABOUT THIS???",,curtismiller201,0,0,2021-03-30 18:38:29
19,"Trump crony Andrew Saul and his deputy David Black delayed the COVID relief checks of 30M seniors &amp; people with disabilities. Then, they lied about it. Remove them now President Biden!!!!

@POTUS, it’s time to stop the sabotage. #FireSaulAndBlack.",,ofthemountain69,0,0,2021-03-30 18:34:55
20,"@DieHard_Jazz Those who make over 400k a year do not, in fact, combine to make 3 trillion dollars.

So, Biden lied.","North Ogden, UT",jsjjazzfan78,0,1,2021-03-30 18:34:23
21,"@CNN, @MSNBC @nytimes, @washingtonpost etc. will be held responsible 4 unethically protecting Biden. @AT&amp;T will go nuts. @davidfrum @AOC @chucktodd @Yamiche @davidaxelrod @PressSec @maggieNYT @thereidout @tribelaw @RWPUSA have lied to the American people. The election was a fraud",,AlexLebeau15,0,0,2021-03-30 18:30:47
22,@cashpiano @JohnJHarwood President Biden doesn’t have over 23 sexual assaults complaints from women. Tara Reade lied and the other woman lied and supporting documents shows that. He wasn’t even in the same state when she claimed whatever happened!! GTFOHWTBS,,leogane1026,0,2,2021-03-30 18:29:58
23,"Greene is a vile propagandist and lied: ""They are actually talking about people's ability to buy and sell linked to the vaccine passport,"" the Georgia Republican tweeted. ""They might as well call it Biden's Mark of the Beast.""
Just like trump, she'll say anything for attention. https://t.co/75VX6IfVQM https://t.co/w1qXAdeX0B","Philadelphia, Pa.",hateGOP,0,0,2021-03-30 18:28:11
24,"from the same ""news"" organization that lied about prayer rugs being found at the southern  border? that published a ""highly misleading ""story on climate change? that bottom of the bird cage liner ?those stronzos?

https://t.co/oxbihUDudS",New Jersey,totowatony,0,0,2021-03-30 18:26:11
25,"Biden lying? No way😂🤣😅Biden has lied his entire adult life, he has no idea what the truth is anymore. And that is not a joke or an exaggeration. You can go back and find 90% of what he has said has later been conntradicted by him. He’s a box of rocks. https://t.co/9umn7FlwMc","Michigan, USA",edglomb,1,1,2021-03-30 18:21:58
26,"@teags876 @Shirley62076773 @DanScavino Btw nazi Germany had book burning, we have cancel culture, they had brown shirts, we have Antifa and leftist cops, Germany banned guns Biden is as well. Sounds like you need to open your eyes a little and realize you’re being lied to.","Florida, USA",ryanmerlo84,0,1,2021-03-30 18:19:51
27,"@RepCawthorn Biden lied about Georgia's ""5pm"" deadline preventing people from voting. Employers in every state (according to Federal law) do allow employees time to go to the polls, and without docking pay.🙂",,artistDiamond,0,0,2021-03-30 18:16:56
28,"@brooketorious @annehelen They’ve lied from the jump about student loans because the private student loan companies are based in Delaware and helped keep Biden in the Senate for 40 years.

I don’t think sneering in response to an administration lying repeatedly about crippling debt is inappropriate.",,joedonnellyiv,0,5,2021-03-30 18:13:09
29,@ConserveThomas Agreed. All the conservatives and trump supporters kept telling me that Biden was a communist and that he was gonna input state communism but they lied,,KarlPresident,0,0,2021-03-30 18:08:36
30,"Biden earns ‘Four Pinocchios’ from Washington Post for false claim about Georgia voting law https://t.co/5RyTRW0b1Q #FoxNews 

Seriously? Joe lied again? 🤥",,jorgan10s,1,3,2021-03-30 18:05:34
31,"@julcia1969 @TomiLahren There’s no way that both R and D judges, some of them Trump appointees, Trump’s AG, &amp; Trump’s DHS chief, who all said @POTUS won cleanly, were in on some anti Trump conspiracy, and lied/ignored evidence of a stolen election for Biden.",,ConfrontingCons,0,0,2021-03-30 17:57:10
32,"They make excuses for their actions, they lied to the American people about the Vaccines, they lied about the distribution. They also blame everything on the past administration without facts. Like Biden says truth before facts 😂😂😂. They avoid the crisis at the border. https://t.co/PkLywIKmab","California, USA",realbrillshow,0,0,2021-03-30 17:55:44
33,"@HoodieVault_ @cfrank149 @wittywriter @SKMorefield @DailyCaller @RealCandaceO Fam, please don't put energy in folks claiming to want a fair election but ignoring the President who lied about the election being stolen, harassed officials, and demanded that they find votes. 

Biden got clear issues....will hold him accountable. 

Do the same with your dude",,CJTS7006,0,1,2021-03-30 17:49:06
34,"It’s tragic that it’s earth-shaking when the media finally addresses Biden’s lack of veracity. Biden has lied, misrepresented, and plagiarized his entire political career. Everyone knew this going in. It was simply ignored. https://t.co/40xmo0BkTJ",California,celliottjones,0,1,2021-03-30 17:49:00
35,"@neversremedy @uhmmkristina She refused to use her speaker vote leverage to force an M4A vote and has stopped talking about M4A, using centrist talking points and supporting Cobra. She lied about securing 15 in the package then didn't fight for it

Here's what she said about Biden's immigration plan https://t.co/Yxq2FKpkoF",Bay Area,FisherBurton,0,0,2021-03-30 17:40:30
36,"Well the Pharmaceutics comps Dr Fauci &amp; all the scientists etc did Rock in getting vaccines developed. Then thank GOD Biden took over as trump just lied about getting any vaccin es out to people, but Biden Is getting that Done at Incredible speed. 
Americans GET YOUR VACCINES https://t.co/UYyCkC3gzH","USA Baby, I Love Disney World.",JimK05382532,0,0,2021-03-30 17:40:24
37,"This isn't the 50s, w/ the level of technology and elite criminality running rampant in the US, this type of tracking system is a threat to all of our civil liberties. Should probably get to work on that public option Biden lied about, then we'll talk about new surveillance. https://t.co/65KO92rKKs","Ohio, USA",Brewsterlala,0,0,2021-03-30 17:40:17
38,"THANK YOU PRESIDENT BIDEN! YOU'RE A GOD SENT!

ALSO A SPECIAL THANKS TO DR. FAUCI FOR HIS INSIGHT! HE has said that it was him who decided it was time to develop a vaccine against Covid-19, something Trump lied about saying it was his doing! 

@GOP @DNC @SenateDems @SenateGOP https://t.co/Ie2U8V1sxe",,lousrant,0,0,2021-03-30 17:30:44
39,"Biden can spend 248,000. A family to put immigrants in a motel but does shit for our homeless.what Joe say Americans first yea right.Also lied about GA voting bill got his ass fact checked. Ya he’s true blue alright!",,garnetbelcher,0,0,2021-03-30 17:30:30
40,"So Biden... LIED!!! Flat out LIED!!!!!!! 

Biden received FOUR Pinocchios from the Washington Post

I thought we had to get rid of Trump because he lied so much (even though it always turned out he told the truth) and Biden would never do that 😳 https://t.co/AUdJwajLaQ","New York, USA",laurienappo,2,1,2021-03-30 17:26:47
41,"@charliekirk11 Pres. Biden is working hard to make sure U.S. citizens are vaccinated. 3M+/da; over 100M in under 60 da. #45 LIED to Americans abt coronavirus for months,never consistently wore a mask, NEVER told his voter-fans to wear them at all-- all led to 550,135 DEATHS of Americans. #COVID",USA,hareme2,0,0,2021-03-30 17:20:25
42,"@GOP 🐘🐘 stayed silent when 45 lied, abused human rights, befriended dictators, held super spreaders, refused to deal with the Pandemic, courted far-right extremist, and touted conspiracy theories. 🐘🐘 set the bar so low for 45, that it’s a joke when they speak against Biden.","Michigan, USA",sgarner586,0,0,2021-03-30 17:20:19
43,"@Burb_Beer_Dude @SarcasmStardust @SocialistMMA Biden literally lied about what he would do if we gave him money and got him elected.  His inaction is what will surrender power to the Republicans, not an individual who noticed he lied.",,cricketfarmguy,0,0,2021-03-30 17:19:52
44,"@atensnut You’re not Christian. 

You pretend to be oppressed with Biden, but support a guy who lied about his states Covid numbers, and protects businesses who put their employees at risk with no recourse if they get sick. 😂",,07Tard,0,0,2021-03-30 17:16:37
45,"@Burb_Beer_Dude @SarcasmStardust @SocialistMMA If their talking point is ""Biden lied about student debt relief"" then they're completely right.  This isn't a team sport, stop being a cheerleader.",,cricketfarmguy,0,0,2021-03-30 17:15:51
46,He lied.....again.    Biden’s tax hikes are coming for the middle class https://t.co/eF9XCkjQU5,,Kellyring,0,0,2021-03-30 17:09:06
47,"@john_faidutti Research Biden warmonger mass incarcerator corporate stooge nepotistic  corrupt Bidens record. Watch him fabricate a completely false tale how he participated in the civil rights movement or lied about his college credentials on youtube
 day one he bombed Syria and Yemen.",,BoyWllson,0,0,2021-03-30 17:05:02
48,"Thanks to Biden, the southern border is a mess. Republican delegation this morning is down  in Texas telling it like it is. Biden lied and people are dying down there. All the VP can do is laugh when asked about the southern border.  It is tragic.",,kfitzsterling,0,0,2021-03-30 17:02:58
49,"WaPo Fact Checker: Biden Lied About Georgia Election Law, It Expands Voting Opportunities For Most Georgians https://t.co/7eH3iCUQBI",,JustTjbulldog,1,1,2021-03-30 16:57:29
50,"@MadiahSaverio @NewYorkStateAG Oh dear, it seems you lost all cognitive function a long time ago.

Biden is the legitimate president,  despite trumps efforts to cheat and have the election overturned. He lied to you, and you were stupid enough to believe him. Seek help.",,VehementRedhead,0,1,2021-03-30 16:55:48
51,"Them Dems have lied numerous times to win an election. Lying about Biden's physical condition will just be another lie
 #Outnumbered",Denver Colorado,2_tts,0,4,2021-03-30 16:52:53
52,"So Basement Biden lied, again? It’s almost like this a daily occurrence but more likely, every time he opens his mouth.  https://t.co/D2aGxFs7n3","Houston, TX",MikeIvicevich,0,0,2021-03-30 16:51:30
53,"@PatrickRuffini really?  Biden is a strong communicator on Covid.
Leaders? T***P, Birx, Redfield lied to Americans, these are who failed. Throw in Fox News and GOP.
Every M-W-F @aslavitt46 a zoom meeting that is televised on Covid.  
Stop the bad information, please.
Follow @WHCOVIDResponse",,healthcareicare,0,0,2021-03-30 16:49:32
54,I believe Biden lied! https://t.co/3PHv9HoIl2,,JackJhe42,0,0,2021-03-30 16:43:35
55,@CYGreen205 @CNNPolitics @IAmSophiaNelson No actually using water or food to bribe someone to vote for youre candidate is evil. Just fyi it does not make it harder to vote. You realize Joe Biden lied about the 5pm cut off. It actually adds days to absentee voting. It also makes polls for absentee voting actually do 8 hrs,port republic,heels2315,0,0,2021-03-30 16:34:31
56,"Biden earns ‘Four Pinocchios’ from Washington Post for false claim about Georgia voting law

https://t.co/BSeQw3Mq9F
Shocking that ⁦@POTUS⁩ lied.  Will ⁦@CNN⁩ ⁦@NBCNews⁩ ⁦@CBSNews⁩ report that sleepy Joe is spreading  misinformation???",,MattRob0511,0,1,2021-03-30 16:29:48
57,"Joe Biden lied?
Color me shocked 🙀 https://t.co/jZxHXCpebA","Missouri, USA",DiogenesMan,4,4,2021-03-30 16:29:22
58,"Biden. I am who I say I am the next Dr. Phil, Bill Gates and the Boeing Girl. I never lied. We must do this President of United-States and PM of Canada. I told you so you didn't want to believe me with tremendous pain",,Chantal71279306,0,0,2021-03-30 16:26:18
59,@Randall28770108 @POTUS He full on lied to you about voting rights in GA  https://t.co/nSyA560KsJ,"Atlanta, GA",GabrielRossirn,0,0,2021-03-30 16:25:15
60,"@JakeLobin says the Person who supports Biden who actually said your not black if you don’t vote 4 him, has credible rape allegation, said the guy who was a KKK member n recruiter he supported, admired, n that he was his  mentor that was a good man. lied about corruption emails n on n on",United States,Daniel_Tirri,0,3,2021-03-30 16:21:14
61,Biden has literally called Harris president three times also Harris was introduced as president in one of the campaign rallies also Harris's husband has introduced her as president what's a really going on here I think the American people are being lied to https://t.co/KJtqoNG3NZ,,TRUTHFLIX,0,0,2021-03-30 16:18:07
62,"@GlennKesslerWP @jaketapper What a stupid minor controversy to attempt to create. Trump lied his ass of every day, but Biden provides one incorrect detail about an objectively terrible bill (that actually was correct in a previous version) and it requires a full article?","Chicago, IL",dubyaDdubya,0,0,2021-03-30 16:17:14
63,Now it’s Biden’s responsibility to do what he said he would do. We should not have to beg our leaders to keep their promises. It’s just a cynical maneuver to stiff us and then blame us for the fact that they lied to us.,,SusanofTexas,2,12,2021-03-30 16:16:28
64,"Potted Plant @POTUS talked again and as usual lied thru his teeth..... EE well his handlers lied thru their teeth

https://t.co/HfSLjVWFMY","Fort Worth Texas, USA",SguyNvi,0,0,2021-03-30 16:03:18
65,Remember when Joe Biden said he wouldn't rise taxes on the middle/working class? Well he lied to us. Mileage will hurt many people and Corporate tax will cause lower wages js,South Mid West,Country1996Bo,0,1,2021-03-30 15:59:24
66,Think I'll stop calling him Senile Joe and switch to Lyin' Joe. He started out as a plagiarizer and has lied about everything from his professorship at U of Delaware to his no-tax-hike for the middle class pledge. Here's another one.. https://t.co/QhBRxT0V2d,,KurtIllinois,1,1,2021-03-30 15:53:13
67,"Biden earns ‘Four Pinocchios’ from Washington Post for false claim about Georgia voting law

Biden nose should be as long as the state of DC for all the bull crap he has lied about!

https://t.co/grYh0Q0kZA",,Carol96208870,0,0,2021-03-30 15:48:20
68,"Biden lied on this aspect of the Georgia law -- AND on others. Much of the media has misreported it, too. The Left and their media lapdogs should stick it where the sun don... well, you know. https://t.co/9y9vi108m3","Mobile, AL",QuinHillyer,2,1,2021-03-30 15:47:45
69,"Another Biden Family Scandal.  It’s Hunter again.  This time he lied about his drug use to get a gun.
A poorly executed “Cover Up” was attempted allegedly at the gun store in question.  MSM liberal Democrat ass kissers will never cover this latest Biden Scandal.  Right? https://t.co/RsV8C6RnVG",USA,ButkovichPete,0,0,2021-03-30 15:46:34
