,Content,Location,Username,Retweet-Count,Favorites,Created at
0,I explained already the Weimar Republic outlawed the Stimulus Bill.,,VaushVi,0,0,2021-03-30 20:28:56
1,"@Blimeythat @SpeakerPelosi She’s busy eating ice cream out of her 24,000 freezer. Hope you get your stimulus soon.",,vinson52000,0,0,2021-03-30 20:28:52
2,@chrizap The partisan divide? Yup getting worse not better unfortunately. Stimulus package the GOP tried to pass under Trump - nope. Stimulus Biden passed - nope. It’s the new norm.,"Brisbane, Australia",LaniRefiti,0,0,2021-03-30 20:28:51
3,You Spent Your Stimulus On An iphone 🤣🤣🤣🤣🤣🤣🤣🤣,NowHere,24KGXLDSXUL,0,0,2021-03-30 20:28:49
4,Shameful. Better late than never &gt; Stimulus Checks for Social Security Recipients to Arrive April 7 #SmartNews #SSI #SSDI https://t.co/JIwBw58J4h,"Columbus native, SE Ohio now.",hardknoxfirst,0,0,2021-03-30 20:28:48
5,"@chaecliff @KTom_1996 @OrganizingPow3r @StephanieKelton Again, since you didn't get it the first time, they are not the reserve currency. And you conveniently didn't answer how the banks were bailed out in 2008, pr how the wars are paid for, or how the stimulus bills are being financed. Lol",,Lord_Saied,0,0,2021-03-30 20:28:45
6,"@CharityHedge Every headline, every day, makes me want to short USD ... and yet ... https://t.co/jelrsboVsa",,KBTrader2,0,0,2021-03-30 20:28:44
7,"Stimulus check amendment fails 34-66, nearly party lines. Here’s the vote board: https://t.co/cCHNRF8eaq","Helena, Montana",eidietrich,0,0,2021-03-30 20:28:41
8,I just realized both of my stimulus payments went into my car awesome definitely what I wanted to spend those on #Sarcasm,4 8 15 16 23 42,ABomb185,0,0,2021-03-30 20:28:39
9,Stimulus Check Update: Social Security Recipients Left Waiting Could Receive Relief Payments Soon https://t.co/gGZMXgAL6N https://t.co/U1MXdpvT3o,"Elk Grove, CA",jkdanu,0,0,2021-03-30 20:28:33
10,"@SprottMoney @TFMetals Dude, how are PMs not going up with another stimulus package announcement!?! Crazy",I live everywhere I Am,KindDude3,0,0,2021-03-30 20:28:30
